suffix	model_folder	ft_model_name	APD	APDP	ARI	RI	PUR	n_cluster	n_true_cluster
	t5-answers	flan-t5-definition-en-xl	0.69	0.585	0.141	0.716	0.831	[1, 1, 1, 8, 5, 1, 1, 5, 1, 1, 5, 6, 1, 3, 3, 6, 6, 4, 3, 1, 3, 3, 3, 3, 1, 3, 6, 1, 1, 4, 4, 5, 4, 3, 3, 6, 1, 3, 1, 3, 4, 3, 5, 1, 1, 5]	[1, 9, 2, 17, 72, 20, 1, 10, 12, 2, 3, 15, 8, 4, 12, 6, 33, 10, 30, 2, 7, 4, 6, 4, 4, 4, 16, 39, 10, 9, 11, 13, 2, 12, 7, 5, 2, 1, 2, 10, 9, 5, 21, 1, 21, 5]
	lora-answers	llama2chat-1024-2048-0.1-0.001-1e-4	0.68	0.508	0.158	0.716	0.841	[1, 5, 4, 6, 6, 4, 1, 1, 1, 1, 4, 3, 4, 3, 4, 1, 3, 6, 4, 4, 4, 1, 4, 3, 1, 3, 1, 6, 1, 4, 6, 4, 1, 3, 1, 3, 1, 4, 3, 4, 4, 4, 6, 1, 5, 7]	[1, 5, 2, 14, 43, 17, 1, 5, 6, 1, 2, 11, 7, 2, 9, 6, 23, 10, 21, 1, 5, 2, 4, 3, 4, 2, 11, 25, 7, 8, 9, 12, 2, 8, 6, 4, 2, 1, 2, 8, 5, 3, 17, 1, 20, 5]
	lora-answers	llama3instruct-512-1024-0.05-0.001-1e-4	0.651	0.45	0.083	0.703	0.837	[3, 3, 4, 4, 4, 5, 1, 4, 1, 1, 4, 3, 7, 3, 5, 5, 7, 5, 1, 7, 5, 1, 1, 1, 3, 3, 5, 5, 4, 3, 4, 3, 4, 4, 1, 6, 3, 3, 3, 3, 3, 4, 6, 6, 7, 6]	[1, 6, 2, 15, 55, 17, 1, 6, 9, 2, 3, 12, 8, 2, 12, 6, 29, 10, 23, 2, 6, 3, 4, 3, 4, 3, 15, 36, 8, 9, 10, 12, 2, 9, 7, 5, 2, 1, 2, 9, 8, 4, 19, 1, 21, 5]
25	t5-answers	flan-t5-definition-en-xl	0.611	0.535	0.093	0.721	0.833	[1, 4, 6, 4, 8, 3, 4, 4, 5, 1, 6, 6, 1, 4, 5, 7, 7, 5, 3, 5, 3, 1, 3, 1, 1, 1, 10, 5, 5, 5, 5, 4, 6, 3, 5, 7, 3, 3, 3, 5, 4, 4, 8, 5, 8, 4]	[1, 9, 2, 17, 72, 20, 1, 10, 12, 2, 3, 15, 8, 4, 12, 6, 33, 10, 30, 2, 7, 4, 6, 4, 4, 4, 16, 39, 10, 9, 11, 13, 2, 12, 7, 5, 2, 1, 2, 10, 9, 5, 21, 1, 21, 5]
25	lora-answers	llama2chat-1024-2048-0.1-0.001-1e-4	0.575	0.619	0.067	0.701	0.832	[3, 6, 6, 5, 8, 4, 1, 4, 3, 1, 4, 4, 1, 3, 5, 7, 7, 6, 6, 4, 9, 4, 3, 3, 1, 1, 6, 8, 6, 5, 5, 5, 3, 6, 5, 6, 1, 3, 1, 5, 5, 5, 8, 8, 4, 10]	[1, 9, 2, 17, 72, 20, 1, 10, 12, 2, 3, 15, 8, 4, 12, 6, 33, 10, 30, 2, 7, 4, 6, 4, 4, 4, 16, 39, 10, 9, 11, 13, 2, 12, 7, 5, 2, 1, 2, 10, 9, 5, 21, 1, 21, 5]
25	lora-answers	llama3instruct-512-1024-0.05-0.001-1e-4	0.6	0.515	0.066	0.693	0.833	[4, 4, 6, 6, 8, 4, 3, 5, 4, 1, 1, 4, 6, 3, 11, 6, 5, 6, 4, 5, 5, 3, 4, 1, 1, 3, 8, 10, 6, 5, 4, 1, 4, 4, 6, 7, 3, 1, 3, 6, 1, 5, 7, 9, 9, 4]	[1, 9, 2, 17, 72, 20, 1, 10, 12, 2, 3, 15, 8, 4, 12, 6, 33, 10, 30, 2, 7, 4, 6, 4, 4, 4, 16, 39, 10, 9, 11, 13, 2, 12, 7, 5, 2, 1, 2, 10, 9, 5, 21, 1, 21, 5]
50	t5-answers	flan-t5-definition-en-xl	0.645	0.508	0.119	0.711	0.834	[1, 5, 4, 7, 3, 5, 1, 1, 3, 3, 4, 4, 4, 3, 7, 5, 6, 4, 3, 4, 5, 3, 3, 1, 1, 3, 7, 5, 3, 5, 6, 5, 5, 1, 4, 9, 3, 1, 3, 5, 4, 5, 9, 6, 7, 6]	[1, 9, 2, 17, 72, 20, 1, 10, 12, 2, 3, 15, 8, 4, 12, 6, 33, 10, 30, 2, 7, 4, 6, 4, 4, 4, 16, 39, 10, 9, 11, 13, 2, 12, 7, 5, 2, 1, 2, 10, 9, 5, 21, 1, 21, 5]
50	lora-answers	llama3instruct-512-1024-0.05-0.001-1e-4	0.569	0.456	0.104	0.712	0.834	[1, 7, 4, 4, 10, 4, 4, 1, 3, 1, 6, 5, 5, 4, 4, 7, 9, 6, 3, 3, 5, 4, 1, 4, 3, 5, 9, 4, 5, 4, 1, 8, 3, 5, 3, 4, 5, 1, 1, 4, 6, 3, 7, 9, 8, 4]	[1, 9, 2, 17, 72, 20, 1, 10, 12, 2, 3, 15, 8, 4, 12, 6, 33, 10, 30, 2, 7, 4, 6, 4, 4, 4, 16, 39, 10, 9, 11, 13, 2, 12, 7, 5, 2, 1, 2, 10, 9, 5, 21, 1, 21, 5]
50	lora-answers	llama2chat-1024-2048-0.1-0.001-1e-4	0.669	0.509	0.091	0.685	0.832	[3, 7, 7, 7, 11, 1, 1, 1, 4, 3, 4, 8, 3, 4, 6, 7, 4, 5, 7, 6, 4, 3, 3, 1, 1, 1, 9, 5, 6, 6, 4, 6, 5, 4, 3, 5, 3, 1, 3, 5, 1, 7, 5, 7, 6, 5]	[1, 9, 2, 17, 72, 20, 1, 10, 12, 2, 3, 15, 8, 4, 12, 6, 33, 10, 30, 2, 7, 4, 6, 4, 4, 4, 16, 39, 10, 9, 11, 13, 2, 12, 7, 5, 2, 1, 2, 10, 9, 5, 21, 1, 21, 5]
75	t5-answers	flan-t5-definition-en-xl	0.676	0.586	0.087	0.719	0.832	[3, 1, 4, 4, 5, 3, 1, 1, 3, 1, 5, 3, 5, 1, 6, 6, 7, 4, 5, 1, 5, 4, 1, 1, 1, 1, 5, 5, 4, 5, 5, 3, 4, 3, 4, 5, 4, 1, 4, 3, 3, 3, 7, 4, 6, 5]	[1, 9, 2, 17, 72, 20, 1, 10, 12, 2, 3, 15, 8, 4, 12, 6, 33, 10, 30, 2, 7, 4, 6, 4, 4, 4, 16, 39, 10, 9, 11, 13, 2, 12, 7, 5, 2, 1, 2, 10, 9, 5, 21, 1, 21, 5]
75	lora-answers	llama2chat-1024-2048-0.1-0.001-1e-4	0.64	0.499	0.071	0.687	0.836	[1, 6, 7, 4, 8, 4, 3, 4, 1, 3, 4, 3, 6, 3, 5, 7, 6, 8, 5, 3, 7, 5, 6, 3, 3, 3, 8, 4, 4, 3, 4, 8, 4, 6, 1, 3, 3, 4, 3, 3, 1, 3, 8, 5, 5, 6]	[1, 9, 2, 17, 70, 20, 1, 10, 11, 2, 3, 14, 8, 3, 12, 6, 31, 10, 28, 2, 7, 3, 6, 4, 4, 3, 16, 39, 10, 9, 10, 13, 2, 12, 7, 5, 2, 1, 2, 9, 9, 5, 19, 1, 21, 5]
75	lora-answers	llama3instruct-512-1024-0.05-0.001-1e-4	0.648	0.544	0.088	0.707	0.832	[1, 3, 5, 7, 9, 3, 1, 6, 3, 1, 3, 5, 3, 3, 1, 5, 5, 5, 1, 1, 4, 3, 1, 1, 1, 1, 7, 4, 4, 4, 3, 6, 3, 5, 4, 5, 5, 3, 4, 1, 3, 6, 4, 4, 5, 6]	[1, 9, 2, 17, 72, 20, 1, 10, 12, 2, 3, 15, 8, 4, 12, 6, 33, 10, 30, 2, 7, 4, 6, 4, 4, 4, 16, 39, 10, 9, 11, 13, 2, 12, 7, 5, 2, 1, 2, 10, 9, 5, 21, 1, 21, 5]
100	t5-answers	flan-t5-definition-en-xl	0.682	0.575	0.088	0.713	0.832	[1, 1, 6, 5, 6, 4, 3, 4, 1, 1, 7, 5, 3, 4, 5, 5, 5, 6, 4, 1, 5, 3, 3, 3, 1, 1, 3, 3, 3, 3, 5, 5, 5, 4, 4, 3, 3, 1, 3, 3, 3, 1, 8, 4, 3, 5]	[1, 9, 2, 17, 72, 20, 1, 10, 12, 2, 3, 15, 8, 4, 12, 6, 33, 10, 30, 2, 7, 4, 6, 4, 4, 4, 16, 39, 10, 9, 11, 13, 2, 12, 7, 5, 2, 1, 2, 10, 9, 5, 21, 1, 21, 5]
100	lora-answers	llama2chat-1024-2048-0.1-0.001-1e-4	0.667	0.667	0.144	0.702	0.835	[1, 6, 3, 3, 8, 5, 1, 3, 3, 1, 4, 6, 3, 1, 6, 4, 6, 5, 8, 3, 4, 3, 3, 3, 1, 3, 6, 5, 4, 4, 3, 6, 4, 5, 4, 6, 1, 1, 1, 5, 1, 4, 8, 5, 5, 5]	[1, 9, 2, 14, 55, 18, 1, 8, 11, 1, 2, 13, 7, 2, 11, 6, 28, 10, 25, 2, 6, 3, 5, 3, 4, 3, 15, 32, 8, 9, 9, 13, 2, 11, 6, 5, 2, 1, 2, 9, 6, 4, 17, 1, 21, 5]
100	lora-answers	llama3instruct-512-1024-0.05-0.001-1e-4	0.662	0.587	0.073	0.699	0.832	[1, 5, 5, 5, 4, 1, 3, 4, 1, 1, 4, 8, 6, 1, 5, 4, 6, 4, 1, 4, 7, 3, 1, 1, 3, 3, 9, 7, 4, 3, 3, 4, 3, 5, 4, 6, 3, 3, 4, 4, 4, 3, 7, 6, 4, 6]	[1, 9, 2, 17, 72, 20, 1, 10, 12, 2, 3, 14, 8, 4, 12, 6, 33, 10, 30, 2, 7, 4, 6, 4, 4, 4, 16, 39, 10, 9, 11, 13, 2, 12, 7, 5, 2, 1, 2, 9, 9, 5, 21, 1, 21, 5]
